ID,x,y,z,cell_type,zone
160,220.0,103.92304845413264,0,hepatocyte,2
161,230.0,121.2435565298214,0,hepatocyte,2
162,220.0,138.56406460551017,0,hepatocyte,2
163,230.0,155.88457268119893,0,hepatocyte,2
164,220.0,173.2050807568877,0,hepatocyte,2
165,230.0,190.5255888325765,0,hepatocyte,2
166,220.0,207.84609690826528,0,hepatocyte,2
167,230.0,225.166604983954,0,hepatocyte,3
168,220.0,242.4871130596428,0,hepatocyte,3
169,230.0,259.80762113533154,0,hepatocyte,3
170,220.0,277.12812921102034,0,hepatocyte,3
171,240.0,34.64101615137754,0,hepatocyte,3
172,250.0,51.96152422706632,0,hepatocyte,3
173,240.0,69.28203230275508,0,hepatocyte,3
174,250.0,86.60254037844385,0,hepatocyte,3
175,240.0,103.92304845413264,0,hepatocyte,3
176,250.0,121.2435565298214,0,hepatocyte,3
177,240.0,138.56406460551017,0,hepatocyte,2
178,250.0,155.88457268119893,0,hepatocyte,3
179,240.0,173.2050807568877,0,hepatocyte,2
180,250.0,190.5255888325765,0,hepatocyte,3
181,240.0,207.84609690826528,0,hepatocyte,3
182,250.0,225.166604983954,0,hepatocyte,3
183,240.0,242.4871130596428,0,hepatocyte,3
184,250.0,259.80762113533154,0,hepatocyte,3
185,260.0,69.28203230275508,0,hepatocyte,3
186,270.0,86.60254037844385,0,hepatocyte,3
187,260.0,103.92304845413264,0,hepatocyte,3
188,270.0,121.2435565298214,0,hepatocyte,3
189,260.0,138.56406460551017,0,hepatocyte,3
190,270.0,155.88457268119893,0,hepatocyte,3
191,260.0,173.2050807568877,0,hepatocyte,3
192,270.0,190.5255888325765,0,hepatocyte,3
193,260.0,207.84609690826528,0,hepatocyte,3
194,270.0,225.166604983954,0,hepatocyte,3
195,260.0,242.4871130596428,0,hepatocyte,3
196,280.0,103.92304845413264,0,hepatocyte,3
197,290.0,121.2435565298214,0,hepatocyte,3
198,280.0,138.56406460551017,0,hepatocyte,3
199,290.0,155.88457268119893,0,hepatocyte,3
200,280.0,173.2050807568877,0,hepatocyte,3
201,290.0,190.5255888325765,0,hepatocyte,3
202,280.0,207.84609690826528,0,hepatocyte,3
