x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-40,-103.92304845413263,-138.88888888888889,zone_2,,,,
-40,-69.28203230275508,-138.88888888888889,zone_2,,,,
-40,-34.64101615137754,-138.88888888888889,zone_1,,,,
-40,0.0,-138.88888888888889,zone_1,,,,
-40,34.64101615137754,-138.88888888888889,zone_1,,,,
-40,69.28203230275508,-138.88888888888889,zone_2,,,,
-40,103.92304845413263,-138.88888888888889,zone_2,,,,
-40,138.56406460551017,-138.88888888888889,zone_3,,,,
-40,173.2050807568877,-138.88888888888889,zone_3,,,,
-40,207.84609690826525,-138.88888888888889,zone_3,,,,
-20,-190.5255888325765,-138.88888888888889,zone_3,,,,
